question_id,question,answer,faithfulness,answer_relevancy,context_precision,total_score
Q001,Ngành Kỹ thuật Máy tính có thể làm những công việc gì sau khi tốt nghiệp?,"Dựa trên các tài liệu được cung cấp, sinh viên tốt nghiệp ngành Cử nhân Công nghệ Thông tin có thể làm việc trong nhiều phạm vi và lĩnh vực khác nhau, cụ thể như:

| Công việc sau tốt nghiệp |
|---|
| Tham mưu, tư vấn |
| Tổ chức thực hiện nhiệm vụ với tư cách của một chuyên viên trong lĩnh vực CNTT |
| Nghiên cứu phát triển và ứng dụng công nghệ thông tin |

**Nguồn tài liệu:**

*   Cử Nhân Công Nghệ Thông Tin Nhật - 1.2
*   Cử nhân Công Nghệ Thông Tin - 1\. GIỚI THIỆU CHUNG - 1.1. Mục tiêu đào tạo
*   Cử nhân Công Nghệ Thông Tin Văn Bằng Đại Học Thứ 2 - 1.1. Mục tiêu đào tạo
*   Cử nhân Công Nghệ Thông Tin Liên Thông - 1.1. Mục tiêu đào tạo",1.0,0.4317355181265381,0.99999999998,0.8011074313392883
Q002,"Chương trình Kỹ thuật Máy tính có bao nhiêu tín chỉ tổng cộng, phân bổ giữa các khối kiến thức chính như thế nào?",Thông tin này không có trong ngữ cảnh được cung cấp.,0.0,0.0,0.9999999999,0.249999999975
Q003,"Sinh viên mới vào học nên theo thứ tự học những môn nền tảng nào trong hai năm đầu để có nền tảng vững về lập trình, cấu trúc dữ liệu, hệ điều hành và kiến trúc máy tính?","Dựa trên ngữ cảnh được cung cấp, thông tin cụ thể về thứ tự học các môn nền tảng trong hai năm đầu cho chương trình Cử nhân Công nghệ Thông tin không được liệt kê chi tiết. Tuy nhiên, các môn nền tảng quan trọng được đề cập bao gồm:

| Môn học                     |
| -------------------------- |
| Kiến trúc máy tính           |
| Hệ điều hành                 |
| Lập trình (không được liệt kê cụ thể) |
| Cấu trúc dữ liệu (không được liệt kê cụ thể) |

**Lưu ý:** Ngữ cảnh chỉ cung cấp thông tin về các môn học *nền tảng* mà không phân loại thứ tự học cụ thể.",0.6666666666666666,0.0,0.999999999975,0.5166666666604167
Q004,Nếu em muốn theo hướng Hệ thống nhúng/IoT thì yêu cầu học những môn gì và kế hoạch ra sao?,"Dựa trên ngữ cảnh được cung cấp, để theo hướng Hệ thống nhúng/IoT trong chương trình Cử nhân Công nghệ Thông tin, sinh viên sẽ được yêu cầu học các môn thuộc **Nhóm môn học định hướng Hệ thống nhúng và IoT**.

**Bảng tổng hợp (dựa trên thông tin trong ngữ cảnh):**

| Nhóm môn học                               |
| ------------------------------------------ |
| Hệ thống nhúng và IoT                      |
| *Lưu ý:*  Ngữ cảnh hiện tại chưa cung cấp danh sách cụ thể các môn học thuộc nhóm này.  Thông tin này cần được tìm hiểu thêm từ các nguồn chính thức của chương trình Cử nhân Công nghệ Thông tin tại UIT.",0.6666666666666666,0.0,0.99999999998,0.5166666666616666
Q005,Ngành này có những định hướng chuyên ngành tự chọn nào?,"Dựa trên ngữ cảnh được cung cấp, sinh viên Cử nhân Công nghệ Thông tin có thể lựa chọn các môn học chuyên ngành tự do để tích lũy tối đa 4 tín chỉ, trong đó có thể chọn các môn học thuộc danh mục 4.4.2.3. Sinh viên có thể chọn các môn học thuộc cả 01 hoặc 02 hướng, không nhất thiết cố định 01 hướng.

**Bảng tóm tắt:**

| Phương án chọn môn học | Số lượng tín chỉ tối đa |
|---|---|
| Môn học chuyên ngành tự do (4.4.2.3) | 4 tín chỉ |
| Lựa chọn 01 hướng | Không nhất thiết cố định |
| Lựa chọn 02 hướng | Không nhất thiết cố định |",0.875,0.312478356526022,0.99999999998,0.7093674247791077
Q006,Môn 'Thực tập doanh nghiệp' (CE502) có bắt buộc không? Có thể đổi sang hình thức khác không?,"**Câu trả lời:**

Dựa trên ngữ cảnh cung cấp:

*   **Môn Thực tập doanh nghiệp (CE502) có thể đổi sang hình thức khác:** Sinh viên nên ưu tiên chọn thực tập tại các đơn vị đối tác của Khoa KTMT và Trường ĐH CNTT (xem Phụ lục 2 tại [https://fce.uit.edu.vn/](https://fce.uit.edu.vn/)) nhưng vẫn được phép chọn các doanh nghiệp… Ngoài ra, môn này có thể thay thế bằng Đồ án tốt nghiệp tại doanh nghiệp hoặc nhóm môn học thay thế.",0.8333333333333334,0.0,0.99999999998,0.5833333333283334
Q007,"Nếu em muốn theo hướng Hệ thống nhúng/IoT hoặc hướng Robotics & AI thì nên chọn những môn tự chọn nào, và mỗi hướng yêu cầu kỹ năng, nền tảng khác nhau ra sao?","Dựa trên các tài liệu được cung cấp, đây là thông tin về các môn tự chọn cho hướng Hệ thống nhúng/IoT và hướng Robotics & AI, cùng với các nền tảng và kỹ năng khác nhau mà mỗi hướng yêu cầu:

**1. Hướng Hệ thống nhúng/IoT:**

*   **Các môn học được mở:** Môn học chuyên ngành được mở theo từng học kỳ có nội dung được cập nhật phù hợp với xu thế công nghệ và nhu cầu lao động.
*   **Yêu cầu kỹ năng/nền tảng:** Hướng này tập trung vào việc trang bị kiến thức và kỹ năng thiết kế, xây dựng và lập trình cho các hệ thống nhúng và IoT.
*   **Ví dụ môn học:** (Dựa trên các tài liệu, không có danh sách cụ thể các môn học tự chọn. Nhưng các môn như CE437, CE438, CE441, CE442 đều thuộc hướng này)

**2. Hướng Robotics & AI:**

*   **Các môn học được mở:** Tương tự như hướng Hệ thống nhúng/IoT, các môn học chuyên ngành được mở theo từng học kỳ, cập nhật xu hướng công nghệ.
*   **Yêu cầu kỹ năng/nền tảng:**  Hướng này tập trung vào việc trang bị kiến thức và kỹ năng liên quan đến thiết kế, lập trình và điều khiển robot, cũng như các ứng dụng của trí tuệ nhân tạo.
*   **Ví dụ môn học:** (Dựa trên các tài liệu, không có danh sách cụ thể các môn học tự chọn. Nhưng các môn như CE441, CE442 đều thuộc hướng này)

**Lưu ý chung:**

*   Sinh viên có thể lựa chọn các môn học thuộc cả 02 hướng mà không nhất thiết phải cố định một hướng.
*   Sinh viên phải chọn tối thiểu 8 tín chỉ học bằng tiếng Nhật trong các môn chuyên ngành.

**Bảng tóm tắt:**

| Đặc điểm        | Hệ thống nhúng/IoT | Robotics & AI    |
| ---------------- | ------------------- | ----------------- |
| **Nền tảng**     | Thiết kế, lập trình hệ thống nhúng | Thiết kế, lập trình robot, AI |
| **Mục tiêu**       | Xây dựng, điều khiển hệ thống nhúng | Thiết kế, điều khiển robot, ứng dụng AI |
| **Ví dụ môn học** | CE437, CE438, CE441, CE442 | CE441, CE442     |

**Xin lưu ý:** Đây là thông tin được trích xuất từ các tài liệu được cung cấp. Để có thông tin đầy đủ và chính xác nhất, bạn nên tham khảo thêm các nguồn tài liệu chính thức khác của trường.",0.45454545454545453,0.0,0.99999999998,0.4318181818131818
Q008,Chương trình có những phương thức tốt nghiệp nào? Thời lượng/ tín chỉ và điều kiện tham gia mỗi phương thức ra sao?,Thông tin này không có trong ngữ cảnh được cung cấp.,0.0,0.0,0.6791666666496875,0.16979166666242188
Q009,"Nếu một sinh viên muốn thay Khóa luận (CE505) bằng Đồ án tốt nghiệp tại doanh nghiệp (CE507): (a) họ cần tích lũy bao nhiêu tín chỉ thay thế, (b) thời gian thực hiện tối thiểu là bao lâu, (c) cần có những điều kiện/giấy tờ gì để đăng ký, và (d) mô tả checklist hướng dẫn từ việc tìm doanh nghiệp đến nộp báo cáo tốt nghiệp.","Dựa trên ngữ cảnh được cung cấp, đây là câu trả lời cho câu hỏi của bạn:

**Trả lời:**

(a) Để thay thế môn Khóa luận tốt nghiệp (CE505) bằng Đồ án tốt nghiệp tại doanh nghiệp (CE507), sinh viên cần tích lũy **10 tín chỉ** thay thế.

(b) Thời gian thực hiện tối thiểu của môn Đồ án tốt nghiệp tại doanh nghiệp là **4-6 tháng**, khuyến khích 6 tháng.

(c) Điều kiện và giấy tờ cần thiết để đăng ký bao gồm:

*   Sinh viên cần chọn các công ty có ký kết hợp tác chính thức với Khoa KTMT hoặc Trường ĐH CNTT.
*   Cần tham vấn ý kiến trực tiếp từ cố vấn học tập hoặc giáo vụ khoa.
*   Cần có kế hoạch đăng ký môn Thực tập doanh nghiệp và Đồ án tốt nghiệp tại doanh nghiệp trong cùng một học kỳ hoặc hai học kỳ liên tiếp.

(d) Checklist hướng dẫn từ việc tìm doanh nghiệp đến nộp báo cáo tốt nghiệp:

1.  **Tìm kiếm và lựa chọn đối tác:** Tham khảo danh sách các đối tác của Khoa KTMT và Trường ĐH CNTT (Phụ lục 2).
2.  **Tham vấn cố vấn:** Thảo luận về ý tưởng đồ án với cố vấn học tập hoặc giáo vụ khoa.
3.  **Đăng ký môn học:** Đăng ký môn Đồ án tốt nghiệp tại khoa.
4.  **Thực hiện tại doanh nghiệp:** Thực hiện đồ án tại doanh nghiệp trong khoảng thời gian 4-6 tháng.
5.  **Nộp báo cáo:** Chuẩn bị và nộp báo cáo tốt nghiệp theo hướng dẫn của khoa.

**Lưu ý:** Thông tin này được trích xuất từ các document được cung cấp.",0.46153846153846156,0.3637354864562456,0.99999999998,0.5619228048700706
Q010,Ngành Kỹ thuật máy tính chương trình đại trà học tiếng Anh bao nhiêu tín chỉ?,Thông tin này không có trong ngữ cảnh được cung cấp.,0.5,0.0,0.7555555555303703,0.3888888888825926
